,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
85,The Good Place,(2016–2020),8.2,No metascore,"96,944","
    Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.",TV-PG,22 min,"
Comedy, Drama, Fantasy            ",Kristen Bell,"['William Jackson Harper', 'Jameela Jamil', ""D'Arcy Carden""]",No Gross
86,The 5th Wave,(2016),5.2,No metascore,"96,487","
    Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",PG-13,112 min,"
Action, Adventure, Sci-Fi            ",J Blakeson,"['Chloë Grace Moretz', 'Matthew Zuk', 'Gabriela Lopez', 'Bailey Anne Borders']",$34.92M
87,Silence,(I) (2016),7.2,79        ,"95,581","
    In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",R,161 min,"
Drama, History            ",Martin Scorsese,"['Andrew Garfield', 'Adam Driver', 'Liam Neeson', 'Tadanobu Asano']",$7.10M
88,The Huntsman: Winter's War,(2016),6.1,No metascore,"94,539","
    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",PG-13,114 min,"
Action, Adventure, Drama            ",Cedric Nicolas-Troyan,"['Chris Hemsworth', 'Jessica Chastain', 'Charlize Theron', 'Emily Blunt']",$48.39M
89,Fences,(2016),7.2,79        ,"94,084","
    A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",PG-13,139 min,"
Drama            ",Denzel Washington,"['Denzel Washington', 'Viola Davis', 'Stephen McKinley Henderson', 'Jovan Adepo']",$57.64M
90,Hush,(I) (2016),6.6,67        ,"93,985","
    A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.",R,82 min,"
Horror, Thriller            ",Mike Flanagan,"['John Gallagher Jr.', 'Kate Siegel', 'Michael Trucco', 'Samantha Sloyan']",No Gross
91,This Is Us,(2016– ),8.7,No metascore,"93,648","
    A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",TV-14,45 min,"
Comedy, Drama, Romance            ",Milo Ventimiglia,"['Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",No Gross
92,Money Monster,(2016),6.5,No metascore,"91,669","
    Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.",R,98 min,"
Crime, Drama, Thriller            ",Jodie Foster,"['George Clooney', 'Julia Roberts', ""Jack O'Connell"", 'Dominic West']",$41.01M
93,The Autopsy of Jane Doe,(2016),6.8,65        ,"90,277","
    A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",R,86 min,"
Horror, Mystery, Thriller            ",André Øvredal,"['Brian Cox', 'Emile Hirsch', 'Ophelia Lovibond', 'Michael McElhatton']",No Gross
94,Planet Earth II,(2016),9.5,No metascore,"89,042","
    David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.",TV-G,298 min,"
Documentary            ",David Attenborough,[],No Gross
95,DC's Legends of Tomorrow,(2016– ),6.8,No metascore,"88,401","
    Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",TV-14,42 min,"
Action, Adventure, Drama            ",Caity Lotz,"['Amy Louise Pemberton', 'Dominic Purcell', 'Brandon Routh']",No Gross
96,The Brothers Grimsby,(2016),6.2,No metascore,"88,399","
    A new assignment forces a top spy to team up with his football hooligan brother.",R,83 min,"
Action, Adventure, Comedy            ",Louis Leterrier,"['Sacha Baron Cohen', 'Mark Strong', 'Rebel Wilson', 'Freddie Crowder']",$6.86M
97,Alice Through the Looking Glass,(2016),6.2,No metascore,"88,021","
    Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.",PG,113 min,"
Adventure, Family, Fantasy            ",James Bobin,"['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter', 'Anne Hathaway']",$77.04M
98,Collateral Beauty,(2016),6.8,No metascore,"87,577","
    Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",PG-13,97 min,"
Drama, Romance            ",David Frankel,"['Will Smith', 'Edward Norton', 'Kate Winslet', 'Michael Peña']",$31.02M
99,The Purge: Election Year,(2016),6.0,No metascore,"86,701","
    Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",R,108 min,"
Action, Horror, Sci-Fi            ",James DeMonaco,"['Frank Grillo', 'Elizabeth Mitchell', 'Mykelti Williamson', 'Joseph Julian Soria']",$79.21M
