,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
83,Johnny English Strikes Again,(2018),6.2,No metascore,"58,173","
    After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English (Rowan Atkinson) is forced to come out of retirement to find the mastermind hacker.",PG,89 min,"
Action, Adventure, Comedy            ",David Kerr,"['Rowan Atkinson', 'Ben Miller', 'Olga Kurylenko', 'Emma Thompson']",$4.41M
84,Mandy,(I) (2018),6.6,81        ,"57,463","
    The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",Not Rated,121 min,"
Action, Fantasy, Horror            ",Panos Cosmatos,"['Casper Kelly', 'Nicolas Cage', 'Andrea Riseborough', 'Linus Roache', 'Ned Dennehy']",$1.21M
85,Eighth Grade,(2018),7.4,89        ,"57,053","
    An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.",R,93 min,"
Comedy, Drama            ",Bo Burnham,"['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson', 'Jake Ryan']",$13.54M
86,Sorry to Bother You,(2018),6.9,80        ,"55,139","
    In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",R,112 min,"
Comedy, Fantasy, Sci-Fi            ",Boots Riley,"['LaKeith Stanfield', 'Tessa Thompson', 'Jermaine Fowler', 'Omari Hardwick']",$17.49M
87,Outlaw King,(2018),6.9,No metascore,"55,134","
    A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.",R,121 min,"
Action, Biography, Drama            ",David Mackenzie,"['Chris Pine', 'Stephen Dillane', 'Rebecca Robin', 'Billy Howle']",No Gross
88,Suspiria,(I) (2018),6.8,64        ,"54,769","
    A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",R,152 min,"
Fantasy, Horror, Mystery            ",Luca Guadagnino,"['Chloë Grace Moretz', 'Tilda Swinton', 'Doris Hick', 'Malgorzata Bela']",$2.47M
89,The Kissing Booth,(2018),6.1,No metascore,"53,753","
    A high school student is forced to confront her secret crush at a kissing booth.",TV-14,105 min,"
Comedy, Romance            ",Vince Marcello,"['Joey King', 'Jacob Elordi', 'Joel Courtney', 'Megan du Plessis']",No Gross
90,Shoplifters,(2018),8.0,93        ,"53,596","
    A family of small-time crooks take in a child they find outside in the cold.",R,121 min,"
Crime, Drama            ",Hirokazu Koreeda,"['Lily Franky', 'Sakura Andô', 'Kirin Kiki', 'Mayu Matsuoka']",$3.31M
91,Enes Batur,(2018),4.1,No metascore,"53,566","
    Enes Batur has to decide between going to college or being a professional YouTuber.",No cert,110 min,"
Comedy            ",Kamil Cetin,"['Enes Batur', 'Bilal Hanci', 'Atakan Özyurt', 'Fatih Yasin']",No Gross
92,Narcos: Mexico,(2018– ),8.4,No metascore,"53,527","
    The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.",TV-MA,50 min,"
Crime, Drama            ",Diego Luna,"['Scoot McNairy', 'José María Yazpik', 'Fermín Martínez']",No Gross
93,Mowgli: Legend of the Jungle,(2018),6.5,No metascore,"53,451","
    A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.",PG-13,104 min,"
Adventure, Drama, Fantasy            ",Andy Serkis,"['Christian Bale', 'Cate Blanchett', 'Benedict Cumberbatch', 'Naomie Harris']",No Gross
94,Hotel Transylvania 3: Summer Vacation,(2018),6.3,No metascore,"52,092","
    Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",PG,97 min,"
Animation, Adventure, Comedy            ",Genndy Tartakovsky,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James']",$167.51M
95,The House That Jack Built,(2018),6.8,No metascore,"52,017","
    The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",R,152 min,"
Crime, Drama, Horror            ",Lars von Trier,"['Matt Dillon', 'Bruno Ganz', 'Uma Thurman', 'Siobhan Fallon Hogan']",$0.09M
96,Fifty Shades Freed,(2018),4.5,No metascore,"51,758","
    Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",R,105 min,"
Drama, Romance, Thriller            ",James Foley,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford']",$100.41M
97,The First Purge,(2018),5.2,No metascore,"50,668","
    America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.",R,97 min,"
Action, Horror, Sci-Fi            ",Gerard McMurray,"[""Y'lan Noel"", 'Lex Scott Davis', 'Joivan Wade', 'Steve Harris']",$69.49M
98,Alpha,(2018),6.7,63        ,"50,471","
    In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.",PG-13,96 min,"
Action, Adventure, Drama            ",Albert Hughes,"['Kodi Smit-McPhee', 'Jóhannes Haukur Jóhannesson', 'Marcin Kowalczyk', 'Jens Hultén']",$35.85M
99,Tully,(2018),7.0,75        ,"49,261","
    A struggling mother of three forms an unexpected bond with the night nanny hired to help with her newborn baby.",R,95 min,"
Comedy, Drama, Mystery            ",Jason Reitman,"['Charlize Theron', 'Mackenzie Davis', 'Ron Livingston', 'Asher Miles Fallica']",$9.23M
